catalognumber	locality	dbpk
EMEC250857	Cotaxtla Experimental Station	urn:catalog:EMEC:EMEC:250857
EMEC250858	Cotaxtla Experimental Station	urn:catalog:EMEC:EMEC:250858
EMEC250873	9 km E Pichucalco	urn:catalog:EMEC:EMEC:250873
EMEC250874	9 km E Pichucalco	urn:catalog:EMEC:EMEC:250874
EMEC250875	9 km E Pichucalco	urn:catalog:EMEC:EMEC:250875
EMEC250876	9 km E Pichucalco	urn:catalog:EMEC:EMEC:250876
EMEC250891	11 mi SE San Andres Tuxtla	urn:catalog:EMEC:EMEC:250891
EMEC250892	Temascal	urn:catalog:EMEC:EMEC:250892
EMEC250895	Coatzacoalcos 10 mi S	urn:catalog:EMEC:EMEC:250895
EMEC250896	19 mi W Zanatepec	urn:catalog:EMEC:EMEC:250896
EMEC250898	La Ventosa 26 mi N	urn:catalog:EMEC:EMEC:250898
EMEC578101	Amargosa River Sand Dunes, 30.7 miles north of Baker	urn:catalog:EMEC:EMEC:578101
EMEC578104	Goldfield, sand dunes 3 miles north of	urn:catalog:EMEC:EMEC:578104
EMEC578107	Goldfield, sand dunes 3 miles north of	urn:catalog:EMEC:EMEC:578107
EMEC578112	Sarcobatus Flat, 10 miles south and 3 miles east of Scottys Junction	urn:catalog:EMEC:EMEC:578112
EMEC578121	Teels Marsh	urn:catalog:EMEC:EMEC:578121
EMEC578123	Fish Lake Valley, 13 miles north and 8 miles east of Dyer	urn:catalog:EMEC:EMEC:578123
EMEC578125	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578125
EMEC578126	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578126
EMEC578127	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578127
EMEC578128	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578128
EMEC578131	Shadow Mountains, south end of El Mirage	urn:catalog:EMEC:EMEC:578131
EMEC578139	Death Valley National Monument, 2 miles north-northeast of Ubehebe Crater	urn:catalog:EMEC:EMEC:578139
EMEC578141	Death Valley, 2 miles north-northeast of Ubehebe Crater	urn:catalog:EMEC:EMEC:578141
EMEC578295	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578295
EMEC578301	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578301
EMEC578309	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578309
EMEC578310	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578310
EMEC578315	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578315
EMEC578318	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578318
EMEC578324	Basin Road, 16 miles southwest of Baker	urn:catalog:EMEC:EMEC:578324
EMEC578327	Minneola Road, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578327
EMEC578330	Minneola Road, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578330
EMEC578331	Minneola Road, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578331
EMEC578332	Minneola Road, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578332
EMEC578333	Minneola Road, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578333
EMEC578338	Minneola Road, Mojave River, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578338
EMEC578341	Minneola Road, Mojave River, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578341
EMEC578342	Minneola Road, Mojave River, 13 miles east of Barstow	urn:catalog:EMEC:EMEC:578342
EMEC578344	Shadow Mountains, south end of El Mirage	urn:catalog:EMEC:EMEC:578344
EMEC578346	Shadow Mountains, south end of El Mirage	urn:catalog:EMEC:EMEC:578346
EMEC578351	Shadow Mountains, south end of El Mirage	urn:catalog:EMEC:EMEC:578351
EMEC578358	Shadow Mountains, south end of El Mirage	urn:catalog:EMEC:EMEC:578358
EMEC578359	Shadow Mountains, south end of El Mirage	urn:catalog:EMEC:EMEC:578359
EMEC578364	Panamint Valley, 0.25 miles north of, 1.5 miles west of Wingate Pass	urn:catalog:EMEC:EMEC:578364
EMEC578373	Panamint Valley, 0.25 miles north of, 1.5 miles west of Wingate Pass	urn:catalog:EMEC:EMEC:578373
EMEC578374	Panamint Valley, 0.25 miles north of, 1.5 miles west of Wingate Pass	urn:catalog:EMEC:EMEC:578374
EMEC578375	Panamint Valley, 0.25 miles north of, 1.5 miles west of Wingate Pass	urn:catalog:EMEC:EMEC:578375
EMEC578380	Panamint Valley, 1 mile west of Wingate Pass	urn:catalog:EMEC:EMEC:578380
EMEC578383	Panamint Valley, 0.25 miles north of, 1.5 miles west of Wingate Pass	urn:catalog:EMEC:EMEC:578383
EMEC578391	Panamint Valley, 0.25 miles north of, 1.5 miles west of Wingate Pass	urn:catalog:EMEC:EMEC:578391
EMEC578393	Wingate Pass, 2 miles south and 16 miles east of Trona	urn:catalog:EMEC:EMEC:578393
EMEC578394	Wingate Pass, 2 miles south and 16 miles east of Trona	urn:catalog:EMEC:EMEC:578394
EMEC578397	Wingate Pass, 2 miles south and 16 miles east of Trona	urn:catalog:EMEC:EMEC:578397
EMEC578399	Wingate Pass, 2 miles south and 16 miles east of Trona	urn:catalog:EMEC:EMEC:578399
EMEC578401	Trona, 14 miles south and 24 miles east of	urn:catalog:EMEC:EMEC:578401
EMEC578409	Trona, 14 miles south and 24 miles east of	urn:catalog:EMEC:EMEC:578409
EMEC578415	Trona, 14 miles south and 24 miles east of	urn:catalog:EMEC:EMEC:578415
EMEC578416	Pilot Knob Valley, 15 miles south and 14 miles east of Trona	urn:catalog:EMEC:EMEC:578416
EMEC578417	Panamint Valley Dunes	urn:catalog:EMEC:EMEC:578417
EMEC578420	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578420
EMEC578427	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578427
EMEC578429	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578429
EMEC578430	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578430
EMEC578431	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578431
EMEC578434	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578434
EMEC578437	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578437
EMEC578442	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578442
EMEC578445	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578445
EMEC578448	Ballarat, 14 miles south and 4 miles east of	urn:catalog:EMEC:EMEC:578448
EMEC578453	Trona, 3 miles north and 5.5 miles east of	urn:catalog:EMEC:EMEC:578453
EMEC578455	Trona, sand dunes 3 miles north and 5.5 miles east of	urn:catalog:EMEC:EMEC:578455
EMEC578459	Trona, sand dunes 3 miles north and 5.5 miles east of	urn:catalog:EMEC:EMEC:578459
EMEC578464	Trona, sand dunes 3 miles north and 5.5 miles east of	urn:catalog:EMEC:EMEC:578464
EMEC578465	Trona, sand dunes 3 miles north and 5.5 miles east of	urn:catalog:EMEC:EMEC:578465
EMEC578467	Trona, sand dunes 3 miles north and 5.5 miles east of	urn:catalog:EMEC:EMEC:578467
EMEC578469	Ridgecrest, 9 miles north and 10 miles east of	urn:catalog:EMEC:EMEC:578469
EMEC578473	Ridgecrest, sand dune 19 miles north of	urn:catalog:EMEC:EMEC:578473
EMEC578475	Ridgecrest, sand dune 19 miles north of	urn:catalog:EMEC:EMEC:578475
EMEC578477	Ridgecrest, 9 miles north and 10 miles east of	urn:catalog:EMEC:EMEC:578477
EMEC578479	Trona, 14 miles south and 24 miles east of	urn:catalog:EMEC:EMEC:578479
EMEC69949	Fort Dick, 2 miles north of	urn:catalog:EMEC:EMEC:69949
EMEC69950	Klamath, 18 miles south of	urn:catalog:EMEC:EMEC:69950
EMEC69951	Borrego	urn:catalog:EMEC:EMEC:69951
EMEC69958	Samuel P. Taylor State Park, south entrance	urn:catalog:EMEC:EMEC:69958
EMEC69959	Caspar	urn:catalog:EMEC:EMEC:69959
EMEC69960	Hopkins Well	urn:catalog:EMEC:EMEC:69960
EMEC82318	Orangevale	urn:catalog:EMEC:EMEC:82318
EMEC82319	Rodeo, 1 mile west of	urn:catalog:EMEC:EMEC:82319
EMEC82320	Organ Pipe Cactus National Monument, Quitobaquito	urn:catalog:EMEC:EMEC:82320
EMEC82321	Ham Pass Road, 2.5 air miles northwest of Eel River Ranger Station	urn:catalog:EMEC:EMEC:82321
