concat_scientificName	unique_geo
Acrobasis caryivorella	1
Acrobasis cunulae	1
Acrobasis exsulella	1
Acrobasis kearfottella	1
Acrobasis nuxvorella	1
Acrobasis UNKNOWN_NULL	1
Acrobasis vaccinii	1
Acrolepiopsis assectella	1
Acrolepiopsis incertella	1
Acrolocha helferi	1
Acrolocha newtoni	1
Acrolophus cressoni	1
Acrolophus davisellus	1
Acrolophus filicornus	1
Acrolophus forbesi	1
Acrolophus mora	1
Acrolophus mortipennella	1
Acrolophus morus	1
Acrolophus plumifontella	1
Acrolophus propinqua	1
Acrolophus simulatus	1
Acrolophus sinclairi	1
Acrolophus sp. undet. 2	1
Acrolyta glacialis	1
Acromantis hesione	1
Acroneuria arida	1
Acroneuria filicis	1
Acroneuria kosztarabi	1
Acroneuria perplexa	1
Acronicta Acronicta atristrigatus	1
Acronicta Acronicta brumosa	1
Acronicta Acronicta lithospila	1
Acronicta Acronicta longa	1
Acronicta lupini	1
Acronicta menyanthidis	1
Acronicta othello	1
Acronicta theodora	1
Acronyches maya	1
Acroperus harpae	1
Acrophasmus UNKNOWN_NULL	1
Acrophotopsis bergi	1
Acrophotopsis eurygnathus	1
Acrophotopsis mickeli	1
Acropiesta semirufa	1
Acroplectis haemanthes	1
Acropyga fuhrmanni	1
Acropyga UNKNOWN_NULL	1
Acrosathe bimaculata	1
Acrosathe otiosa	1
Acrosoma UNKNOWN_NULL	1
Acrossus rufipes	1
Acrosternum scutellatum	1
Acrosternum solitum	1
Acrotaphus fuscipennis	1
Acrotona fungi	1
Acrotrichis Acrotrichis castanea	1
Acruliopsis UNKNOWN_NULL	1
Acrydium subulatum	1
Actaea bifrons	1
Actaea rufopunctata	1
Actebia balanitis	1
Actenodes auronotatus	1
Actenodes simi	1
Acteocina canaliculata	1
Acteon punctocaelatus	1
Actia UNKNOWN_NULL	1
Actinote ozomene	1
Actium barri	1
Actoen chlorosticus	1
Aculepeira Aculepeira sp.	1
Aculepeira packardii	1
Acunasus angustatus	1
Acunasus brunneus	1
Acunasus capitatus	1
Acunasus clavatus	1
Acunasus cruciatus	1
Acunasus hyalinus	1
Acunasus luteus	1
Acunasus nigriviridis	1
Acunasus venosus	1
Acunasus viridis	1
Acupalpus Acupalpus alternans	1
Acupalpus Acupalpus linearis	1
Acupalpus Acupalpus longulus	1
Acupalpus alternans	1
Acuponana consensa	1
Acus UNKNOWN_NULL	1
Acusana condensa	1
Acusana frondosa	1
Acusana marginella	1
Acusana rota	1
Acusana solora	1
Acusana teres	1
Acusana tympana	1
Acutaspis reniformis	1
Acutaspis tingi	1
Acylophorus caseyi	1
Acylophorus dissimilis	1
Acylophorus pratensis	1
Acylophorus ruficollis	1
Acyrthosiphon assiniboinense	1
Acyrthosiphon primulae	1
Acyrthosiphon tutigula	1
Adaleres ovipennis	1
Adejeania UNKNOWN_NULL	1
Adela purpurea	1
Adela septentrionella	1
Adelencyrtus extranea	1
Adelencyrtus UNKNOWN_NULL	1
Adelina bifurcata	1
Adelius fasciipennis	1
Adelocera UNKNOWN_NULL	1
Adelomyrmex jtl014	1
Adelomyrmex jtl016	1
Adelomyrmex jtl017	1
Adelomyrmex jtl022	1
Adelomyrmex jtl039	1
Adelpha fessonia	1
Adelpha malea	1
Adelpha naxia	1
Aderis brunnipennis	1
Adhemarius donysa	1
Adhemarius fulvescens	1
Adinopsis UNKNOWN_NULL	1
Adiplosis UNKNOWN_NULL	1
Admestina archboldi	1
Admestina UNKNOWN_NULL	1
Admontia dubia	1
Admontia pergandei	1
Adoneta bicaudata	1
Adota gnypetoides	1
Adoxomyia lata	1
Adoxomyia rustica	1
Adoxomyia UNKNOWN_NULL	1
Adraneothrips Adraneothrips desocellatus	1
Adraneothrips Adraneothrips nr. acutus	1
Adraneothrips Adraneothrips sp.	1
Adranes coecus	1
Adranes taylori	1
Aecothea fenestralis	1
Aedes aboriginis	1
Aedes diantaeus	1
Aedes dupreei	1
Aedes earlei	1
Aedes implicatus	1
Aedes melanimon	1
Aedes muelleri	1
Aedes nigrinus	1
Aedes nigripes	1
Aedes occidentalis	1
Aega concharum	1
Aeganola UNKNOWN_NULL	1
Aegathos loliginea	1
Aegialia conferta	1
Aegialia cylindrica	1
Aegialia kelsoi	1
Aegialia magnifica	1
Aegialia spinosa	1
Aegialia terminalis	1
Aegialia, Agoliinus UNKNOWN_NULL	1
Aegilips UNKNOWN_NULL	1
Aegilipsovelia origami	1
Aeginina UNKNOWN_NULL	1
Aegiochus dentata	1
Aegiochus ventrosa	1
Aegla laevis	1
Aegomorphus arizonicus	1
Aegomorphus modestum	1
Aegomorphus morrisii	1
Aemelia ambigua	1
Aemilia Aemilia ambigua	1
Aenasius maplei	1
Aenasius pergandei	1
Aeneolamia varia	1
Aenigmatias curvinervis	1
Aenigmatias eurynotus	1
Aenigmatias fuscipennis	1
Aenigmatias nigricornis	1
Aeolothrips Aeolothrips fasciapennis	1
Aeolothrips Aeolothrips intermedius	1
Aeolothrips Aeolothrips nr. duvali	1
Aeolothrips Aeolothrips nr. intermedius	1
Aeolothrips Aeolothrips oregonus	1
Aeolothrips Aeolothrips vittipennis	1
Aeolothrips albicinctus	1
Aeolothrips fasciata	1
Aeolus Aeolus dorsalis	1
Aeolus circumscriptus	1
Aeolus nigriventris	1
Aeolus petilus	1
Aeolus physoderus	1
Aeolus pictus	1
Aeria eurimedia	1
Aerochoreutes carlinianus	1
Aeroglyphus UNKNOWN_NULL	1
Aeromyrmex octospinosus	1
Aeshna californica	1
Aeshna coerulea	1
Aeshna confusa	1
Aetanocera UNKNOWN_NULL	1
Aethes Aethes nr. deutschiana	1
Aethes Aethes smeathmanniana	1
Aethes interruptofascia	1
Aethes patricia	1
Aethes pimana	1
Aethes promptana	1
Aethilla lavochrea	1
Aethina tumida	1
Aethina villosa	1
Aethodelphax aetocephalus	1
Aethodelphax caninus	1
Aethodelphax paraparvulus	1
Aethodelphax prairianus	1
Aethodelphax sagittatus	1
Aethria UNKNOWN_NULL	1
Aethus nigritus	1
Aetole cera	1
Aetole insolita	1
Aetole prenticei	1
Aetropium parallelum	1
Afrida ydatodes	1
Agabinus sculpturellus	1
Agabus aeruginosus	1
Agabus Agabus ancillus	1
Agabus Agabus colymbus	1
