InstitutionCode	family	count(*)
OSU	Melandryidae	160
USNM	Melitidae	50
KU	Melittidae	443
TTU	Mellitidae	2
NMSU	Meloidae	1731
TTU	Melolonthidae	1
OMNH	Melongenidae	3
NMSU	Melyridae	97
NMSU	Membracidae	4722
NMSU	Menippidae	3
FMNH	Menoponidae	21
MCZ	Menthidae	4
AMNH	Mesoveliidae	12
FMNH	Messicobolidae	10
USNM	Metidae	1
USNM	Metridinidae	16
USNM	Microcerberidae	1
USNM	Microdispidae	1
KU	Micronectidae	2246
FMNH	Micropezidae	4
USNM	Microphasmidae	1
EMEC	Milichiidae	1
USNM	Mimallonidae	9
DMNS	Mimetidae	44
USNM	Miraciidae	1
NMSU	Miridae	60273
UHIM	Miridea	1
OMNH	Mitridae	3
UNM	Miturgidae	25
MCZ	Mobulidae	1
TAMU	Mogoplistidae	15
OSU	Monomachidae	1
MCZ	Monommidae	1
CSCA	Monophlebidae	11
OSU	Monotomidae	31
USNM	Monstrillidae	22
TTU	Mordellidae	999
USNM	Mormonillidae	3
MCZ	Mugilidae	2
MCZ	Munididae	15
USNM	Munidopsidae	48
USNM	Munnidae	2
USNM	Munnopsidae	81
OMNH	Muricidae	16
INHS	Musapsocidae	1
iNaturalist	Muscidae	9
NMSU	Mutillidae	749
KU	Mycetophagidae	26
OSU	Mycetophilidae	13
OSU	Mycteridae	1
OSU	Mydidae	107
USNM	Myicolidae	1
OSU	Mymaridae	160
UNM	Myrmeleontidae	24
MCZ	Mysidae	66
FMNH	Mysmenidae	28
UHIM	Nabidae	50
USNM	Nannastacidae	7
USNM	Nannosquillidae	11
TTU	Naticidae	3
NMSU	Naucoridae	1697
INHS	Neanuridae	30
USNM	Nebaliidae	6
INHS	Neelidae	3
FMNH	Nemastomatidae	17
USNM	Nematocarcinidae	14
USNM	Nemestrinidae	1
INHS	Nemouridae	5
MCZ	Neobisiidae	9
USNM	Neomegamphopidae	3
MCZ	Neophyllobiidae	10
iNaturalist	Nephilidae	65
MCZ	Nephropidae	29
NMSU	Nepidae	743
iNaturalist	Neriidae	3
OMNH	Neritidae	2
UNM	Nesticidae	5
EMEC	Nicoletiidae	1
TAMU	Ninidae	114
BYU	Nitidulidae	1944
NMSU	Noctuidae	1062
TAMU	Nogodinidae	103
MSU	Nolidae	63
KU	Nosodendridae	1
OSU	Noteridae	96
USNM	Notodelphyidae	4
ASU	Notodontidae	168
NMSU	Notonectidae	7932
FMNH	Nycteribiidae	21
ASU	Nymphalidae	9957
USNM	Nymphonidae	5
TAMU	Ochodaeidae	33
KU	Ochteridae	48
NMSU	Ocypodidae	92
INHS	Odontellidae	4
INHS	Odontoceridae	17
USNM	Odontodactylidae	3
NMSU	Oecanthidae	8
