cnt	max(occid)	catalogNumber
3	32316063	10BBCFO-0155
3	32312583	10BBCFO-0156
3	32312670	10BBCFO-0157
3	32311692	10BBCFO-0158
3	32311105	10BBCFO-0159
3	32311367	10BBCFO-0160
3	32311106	10BBCFO-0161
3	32311783	10BBCFO-0162
3	32311784	10BBCFO-0163
3	32316064	10BBCFO-0164
3	32311785	10BBCFO-0166
3	32312657	10BBCFO-0167
3	32316065	10BBCFO-0168
3	32316066	10BBCFO-0169
3	32316067	10BBCFO-0170
3	32312608	10BBCFO-0171
3	32312012	10BBCFO-0172
3	32316068	10BBCFO-0173
3	32311786	10BBCFO-0174
3	32313187	10BBCFO-0175
3	32310644	10BBCFO-0176
3	32310645	10BBCFO-0177
3	32311787	10BBCFO-0178
3	32311368	10BBCFO-0179
3	32313494	10BBCFO-0180
3	32313039	10BBCFO-0181
3	32311788	10BBCFO-0183
3	32312658	10BBCFO-0184
3	32312013	10BBCFO-0186
3	32311644	10BBCFO-0187
3	32313954	10BBCFO-0188
3	32313859	10BBCFO-0189
3	32311107	10BBCFO-0190
3	32311369	10BBCFO-0196
3	32312014	10BBCFO-0197
3	32311108	10BBCFO-0198
3	32312659	10BBCFO-0199
3	32313860	10BBCFO-0200
3	32474244	10BBCFO-0201
3	32311109	10BBCFO-0202
3	32311665	10BBCFO-0203
3	32313955	10BBCFO-0204
3	32311790	10BBCFO-0205
3	32313861	10BBCFO-0206
3	32316073	10BBCFO-0207
3	32313188	10BBCFO-0208
3	32313495	10BBCFO-0209
3	32311370	10BBCFO-0210
3	32311021	10BBCFO-0211
3	32312584	10BBCFO-0212
3	32312015	10BBCFO-0213
3	32316074	10BBCFO-0214
3	32312707	10BBCFO-0215
3	32316075	10BBCFO-0217
3	32312708	10BBCFO-0218
3	32313956	10BBCFO-0219
3	32311022	10BBCFO-0220
3	32311023	10BBCFO-0221
3	32313300	10BBCFO-0222
3	32312585	10BBCFO-0223
3	32313301	10BBCFO-0224
3	32311791	10BBCFO-0225
3	32313302	10BBCFO-0226
3	32311792	10BBCFO-0227
3	32474245	10BBCFO-0228
3	32313957	10BBCFO-0229
3	32311793	10BBCFO-0230
3	32311794	10BBCFO-0232
3	32313862	10BBCFO-0233
3	32313303	10BBCFO-0234
3	32316076	10BBCFO-0235
3	32313312	10BBCFO-0237
3	32310646	10BBCFO-0238
3	32312016	10BBCFO-0239
3	32313702	10BBCFO-0240
3	32311110	10BBCFO-0241
3	32312017	10BBCFO-0242
3	32311666	10BBCFO-0243
3	32313189	10BBCFO-0244
3	32316077	10BBCFO-0245
3	32312018	10BBCFO-0246
3	32311795	10BBCFO-0247
3	32313496	10BBCFO-0248
3	32311796	10BBCFO-0249
3	32313958	10BBCFO-0251
3	32313959	10BBCFO-0252
3	32313960	10BBCFO-0253
3	32312019	10BBCFO-0256
3	32311024	10BBCFO-0257
3	32316080	10BBCFO-0259
3	32311797	10BBCFO-0260
3	32311798	10BBCFO-0261
3	32316081	10BBCFO-0262
3	32313304	10BBCFO-0263
3	32313497	10BBCFO-0264
3	32313498	10BBCFO-0265
3	32313863	10BBCFO-0266
3	32311111	10BBCFO-0267
3	32316082	10BBCFO-0268
3	32312020	10BBCFO-0269
3	32316083	10BBCFO-0270
3	32310647	10BBCFO-0271
3	32311371	10BBCFO-0272
3	32316084	10BBCFO-0273
3	32311372	10BBCFO-0274
3	32316085	10BBCFO-0275
3	32316086	10BBCFO-0276
3	32316087	10BBCFO-0277
3	32316088	10BBCFO-0278
3	32312021	10BBCFO-0279
3	32311025	10BBCFO-0280
3	32311799	10BBCFO-0281
3	32314430	10BBCFO-0282
3	32313499	10BBCFO-0283
3	32311800	10BBCFO-0284
3	32311801	10BBCFO-0285
3	32311112	10BBCFO-0286
3	32313864	10BBCFO-0288
3	32311802	10BBCFO-0289
3	32313865	10BBCFO-0290
3	32312022	10BBCFO-0291
3	32313313	10BBCFO-0292
3	32312023	10BBCFO-0293
3	32313961	10BBCFO-0294
3	32311821	10BBCFO-0295
3	32311373	10BBCFO-0296
3	32313962	10BBCFO-0297
3	32313963	10BBCFO-0298
3	32312024	10BBCFO-0300
3	32313500	10BBCFO-0301
3	32313190	10BBCFO-0302
3	32311374	10BBCFO-0303
3	32316089	10BBCFO-0309
3	32312660	10BBCFO-0310
3	32313195	10BBCFO-0311
3	32311026	10BBCFO-0312
3	32316090	10BBCFO-0313
3	32474246	10BBCFO-0314
3	32310649	10BBCFO-0315
3	32311667	10BBCFO-0316
3	32312025	10BBCFO-0317
3	32311803	10BBCFO-0318
3	32316091	10BBCFO-0319
3	32316092	10BBCFO-0320
3	32316093	10BBCFO-0321
3	32311113	10BBCFO-0322
3	32311668	10BBCFO-0323
3	32311804	10BBCFO-0324
3	32313866	10BBCFO-0325
3	32312026	10BBCFO-0326
3	32312586	10BBCFO-0327
3	32313964	10BBCFO-0328
3	32311805	10BBCFO-0329
3	32313501	10BBCFO-0330
3	32310650	10BBCFO-0331
3	32311114	10BBCFO-0333
3	32311806	10BBCFO-0334
3	32316094	10BBCFO-0335
3	32316095	10BBCFO-0336
3	32312587	10BBCFO-0337
3	32312027	10BBCFO-0339
3	32316097	10BBCFO-0340
3	32311822	10BBCFO-0341
3	32313502	10BBCFO-0342
3	32316098	10BBCFO-0343
3	32311807	10BBCFO-0345
3	32316099	10BBCFO-0346
3	32312028	10BBCFO-0347
3	32316100	10BBCFO-0348
3	32313191	10BBCFO-0349
