concat_scientificName	unique_geo
Ablautus coachellus	1
Ablautus coquilletti	1
Ablautus coquilletti Wilcox, 1935	1
Ablautus flavipes	1
Ablautus linsleyi	1
Ablautus mimus	1
Ablautus rufotibialis	1
Ablautus schlingeri	1
Ablautus trifarius	1
Ablautus trifarius Loew, 1866	1
Ablautus vanduzeei	1
Ablaxia cupraeus	1
Ablechrus Waterhouse, 1877	1
Ablerus	1
Abolloptera bistriata	1
Abraeomorphus atomarius	1
Abraeomorphus Reitter, 1886	1
Abraeus maritimus	1
Abrostola microvalis	1
Abrostola parvula	1
Abrostola parvula Barnes & McDunnough, 1916	1
Absyrtus	1
Absyrtus paniscoides	1
Absyrtus panisicoides	1
Absyrtus perilissoides	1
Absyrtus spp.	1
Abutiloneus idoneus Bridwell, 1946	1
Acacesia cornigera	1
Acacesia cornigera cf.	1
Acacesia Simon, 1895	1
Acadoparadoxides harlani	1
Acalles basalis	1
Acalles carinatus J. Lec. , 1876	1
Acalles clathratus	1
Acalles hubbardi	1
Acalles indigens Fall , 1907	1
Acalles inflatus	1
Acalles longulus	1
Acalles minutissimus	1
Acalles nobilis	1
Acalles nuchalis	1
Acalles pectoralis	1
Acalles sordidus	1
Acalles sulcicollis	1
Acalles turbidus	1
Acalles ventrosus	1
Acallodes lysimachiae	1
Acallodes lysimachiae Fall , 1913	1
Acallodes ventricosus J. Lec. , 1876	1
Acalophaena	1
Acalophaena compacta	1
Acalpytris bicornutus	1
Acalpytris lotella	1
Acalymma gouldi	1
Acalymma vinctum	1
Acalymna palomarense	1
Acalypta barberi	1
Acalypta elegans	1
Acalypta lillianus	1
Acalypta ovata	1
Acalypta thomsonii	1
Acalypta Westwood, 1840	1
Acalyptus Sch̦nherr, 1833	1
Acambus pterophori	1
Acamptopoeum submetallicum	1
Acamptus rigidus	1
Acanalonia bivittata (Say, 1825)	1
Acanalonia brevifrons	1
Acanalonia decens	1
Acanalonia excavata	1
Acanalonia saltonia	1
Acanalonia servillei Spinola, 1839	1
Acanalonia Spinola, 1839	1
Acanalonia tehuacana	1
Acanalonia tripartita	1
Acanalonia virescens (St̴l, 1864)	1
Acanalonia viriditerminata	1
Acanalonidae unk.	1
Acanosema caudatum	1
Acanosema spp.	1
Acanthacoris scaber	1
Acanthametropus pecatonica	1
Acanthaxius caespitosa (Squires, 1979)	1
Acanthaxius hirsutimanus (Boesch and Smalley, 1972)	1
Acanthepeira stellata (Walckenaer, 1805)	1
Acanthephyra armata A. Milne-Edwards, 1881	1
Acanthephyra brevicarinata	1
Acanthephyra brevirostris	1
Acanthephyra sibogae de Man, 1916	1
Acanthephyra smithi Kemp, 1939	1
Acanthephyra stylorostratis	1
Acantherpestes major	1
Acantherpestes Meek & Worthen, 1868	1
Acanthetropis idiotes	1
Acanthetropis noctivaga	1
Acanthetropis normalis	1
Acanthhoscelides seminulum	1
Acanthina angelica	1
Acanthinomyia pulchella	1
Acanthinucella paucilirata	1
Acanthinucella punctulata	1
Acanthinus cristatus	1
Acanthinus foveiventris	1
Acanthinus krausii	1
Acanthinus ornatus	1
Acanthinus ornatus (Heberdey, 1937)	1
Acanthinus scitulus (LeConte, 1852)	1
Acanthinus striatopunctatus	1
Acanthobaris castaneipennis	1
Acanthobolbina loeblichi	1
Acanthobothrium	1
Acanthocaris stimpsoni	1
Acanthocarpus	1
Acanthocarpus bispinosus	1
Acanthocaudus schlingeri	1
Acanthocaudus tissoti	1
Acanthocephala (Metapodius) terminalis (Dallas, 1852)	1
Acanthocephala Acanthocephala declivis var. panamensis	1
Acanthocephala declivis (Say, 1832)	1
Acanthocephala femorata (Fabricius, 1775)	1
Acanthocephala Laporte, 1833	1
Acanthocephala thomasi Uhler, 1872	1
Acanthochiton spioulosa	1
Acanthocinus	1
Acanthocinus angulosus (Casey, 1913)	1
Acanthocinus nodosus (Fabricius, 1775)	1
Acanthocinus obliquus (LeConte, 1862)	1
