InstitutionCode	family	count(*)
UNM	Blaberidae	6
USNM	Blaberidae	2
USNM	Blastobasidae	2
NMSU	Blattellidae	2
UNM	Blattellidae	3
ASU	Blattidae	12
FMNH	Blattidae	75
iNaturalist	Blattidae	24
NMSU	Blattidae	1
TAMU	Blattidae	4
UMNH	Blattidae	2
UNM	Blattidae	2
USNM	Blepharipodidae	2
AMNH	Blissidae	281
OSAC	Blissidae	1
TAMU	Blissidae	45
UCR	Blissidae	1
USNM	Bodotriidae	2
USNM	Bogidiellidae	2
FMNH	Bombycidae	3
iNaturalist	Bombycidae	5
MSU	Bombycidae	3
USNM	Bombycidae	25
EMEC	Bombyliidae	98
FMNH	Bombyliidae	4
iNaturalist	Bombyliidae	15
MCZ	Bombyliidae	31
OSU	Bombyliidae	28
UNM	Bombyliidae	1
USNM	Bombyliidae	81
USNM	Bomolochidae	19
USNM	Bopyridae	40
KU	Bostrichidae	2
MCZ	Bostrichidae	3
NMSU	Bostrichidae	8
OSU	Bostrichidae	11
TTU	Bostrichidae	26
UNM	Bostrichidae	2
KU	Bothrideridae	1
INHS	Bourletiellidae	4
EMEC	Brachycentridae	2
USNM	Brachycytheridae	4
USNM	Brachyscelidae	7
INHS	Brachystomellidae	2
CLEV	Braconidae	187
EMEC	Braconidae	72
FMNH	Braconidae	29
INHS	Braconidae	305
KU	Braconidae	31
MCZ	Braconidae	1
MSU	Braconidae	87
NMSU	Braconidae	11
OSU	Braconidae	83
UCB	Braconidae	157
UKY-HIC	Braconidae	377
USNM	Braconidae	53
INHS	Bradynobaenidae	11
MSU	Bradynobaenidae	2
USNM	Branchinectidae	17
ASU	Brentidae	2
iNaturalist	Brentidae	4
MCZ	Brentidae	17
NAUF	Brentidae	739
NMSU	Brentidae	1
OSU	Brentidae	14
TTU	Brentidae	87
UTC	Brentidae	1
MCZ	Bruchidae	4
TTU	Bruchidae	251
USNM	Bruchidae	87
OMNH	Buccinidae	3
USNM	Bucculatricidae	1
OMNH	Bulimulidae	1
ASU	Buprestidae	4
EMEC	Buprestidae	5
iNaturalist	Buprestidae	55
INHS	Buprestidae	4
KU	Buprestidae	22
MCZ	Buprestidae	20
NMSU	Buprestidae	334
OSU	Buprestidae	23
TTU	Buprestidae	50
UNM	Buprestidae	3
USNM	Buprestidae	91
DMNS	Buthidae	10
FMNH	Buthidae	51
iNaturalist	Buthidae	78
MCZ	Buthidae	71
NMSU	Buthidae	3
UNM	Buthidae	10
USNM	Buthidae	3
USNM	Bythocytheridae	2
USNM	Bythograeidae	4
EMEC	Calamoceratidae	3
iNaturalist	Calamoceratidae	1
INHS	Calamoceratidae	9
KU	Calamoceratidae	4
