scientificName	unique_geo
Acanthocinus obliquus (LeConte, 1862)	1
Acanthocinus obsoletus	1
Acanthocinus obsoletus (Olivier, 1795)	2
Acanthocinus princeps (Walker, 1866)	1
Acanthocinus pusillus	1
Acanthocinus pusillus (Kirby, 1837)	1
Acanthocinus sp.	1
Acanthocinus spectabilis (LeConte, 1854)	1
Acanthoctenus	1
Acanthoctenus spinipes	1
Acanthoctoca graefi	1
Acanthocyclops americanus (Marsh, 1893)	8
Acanthocyclops robustus (G. O. Sars, 1863)	3
Acanthocyclops vernalis (Fischer, 1853)	27
Acanthodelphax analis	1
Acanthodelta janata	1
Acanthoderes (Pardalisia) funeraria Bates, 1861	1
Acanthoderes Audinet-Serville, 1835	1
Acanthoderes circumflexa Fisher, 1944	1
Acanthoderes docta Lameere, 1883	1
acanthognathus (indet)	1
acanthognathus ocellatus	6
Acanthohaustorius Bousfield, 1965	26
Acanthohaustorius bousfieldi Frame, 1980	4
Acanthohaustorius intermedius Bousfield, 1965	31
Acanthohaustorius millsi Bousfield, 1965	96
Acanthohaustorius pansus Thomas and J. L. Barnard, 1984	19
Acanthohaustorius shoemakeri Bousfield, 1965	30
Acanthohaustorius similis Frame, 1980	3
Acanthohaustorius uncinus Foster, 1989	5
Acantholeberis curvirostris (O. F. MÃ¼ller 1776)	1
Acantholeria armipes (Loew, 1862)	1
Acantholithodes hispidus (Stimpson, 1860)	7
Acantholobulus bermudensis (Benedict & Rathbun, 1891)	1
Acantholobulus mirafloresensis (Abele & Kim, 1989)	6
Acantholobulus pacificus (Edmondson, 1931)	1
Acantholomidea denticulata	2
Acantholycosa solituda	10
Acantholycosa solituda (Levi & Levi, 1951)	2
Acantholyda atrata	1
Acantholyda brunnicans	1
Acantholyda Costa, 1894	1
Acantholyda erythrocephala	2
Acantholyda erythrocephala (Linnaeus)	1
Acanthomyops arizonicus	1
Acanthomyops arizonicus Wheeler	1
Acanthomyops claviger	1
Acanthomyops interjectus	1
Acanthomyops interjectus Mayr	1
Acanthomyops latipes	1
Acanthomyops Mayr, 1862	4
Acanthomyops murphyi	1
Acanthomyops spp.	1
Acanthomysis Czerniavsky, 1882	28
Acanthomysis nephrophthalma A. H. Banner, 1948	2
Acanthonotozoma Boeck, 1876	1
Acanthonotozoma inflatum (KrÃ¸yer, 1842)	1
Acanthonotozoma serratum (O. Fabricius, 1780)	3
Acanthonycha Jacoby, 1884	1
Acanthonyx petiverii H. Milne Edwards, 1834	11
Acanthoparypha chiropyga	1
Acanthoparypha perforata	2
acanthoponera minor	6
Acanthopria sp.	1
Acanthops godmani Saussure & Zehntner, 1894	1
Acanthopteroctetes unifascia	1
Acanthoscelides aequalis (Sharp, 1885)	1
Acanthoscelides alboscutellatus	1
Acanthoscelides alboscutellatus (Horn, 1873)	1
Acanthoscelides aureolus (Horn, 1873)	1
Acanthoscelides bisignatus (Horn)	1
Acanthoscelides biustulus (Fall)	1
Acanthoscelides biustulus (Fall, 1910)	1
Acanthoscelides calvus	1
Acanthoscelides calvus (Horn, 1873)	1
Acanthoscelides chiricahuae (Fall, 1910)	1
Acanthoscelides collusus (Fall)	2
Acanthoscelides compressicornis (Schaeffer)	1
Acanthoscelides desmoditus Johnson, 1983	1
Acanthoscelides fraterculus	1
Acanthoscelides fraterculus (Horn)	1
Acanthoscelides fraterculus (Horn, 1873)	1
Acanthoscelides fumatus (Schaeffer, 1907)	1
Acanthoscelides longistilus (Horn, 1873)	1
Acanthoscelides mixtus (Horn)	1
